	GSM3038876_M-17-1.CEL	GSM3038877_M-17-2.CEL	GSM3038878_M-17-3.CEL	GSM3038879_S-17-1.CEL	GSM3038880_S-17-2.CEL	GSM3038881_C-17-1.CEL	GSM3038882_C-17-2.CEL	GSM3038883_C-17-3.CEL	GSM3038884_M-24-1.CEL	GSM3038885_M-24-2.CEL	GSM3038886_M-24-3.CEL	GSM3038887_S-24-1.CEL	GSM3038888_S-24-2.CEL	GSM3038889_S-24-3.CEL	GSM3038890_C-24-1.CEL	GSM3038891_C-24-2.CEL	GSM3038892_C-24-3.CEL	GSM3038893_M-49-1.CEL	GSM3038894_M-49-2.CEL	GSM3038895_M-49-3.CEL	GSM3038896_S-49-1.CEL	GSM3038897_S-49-2.CEL	GSM3038898_S-49-3.CEL	GSM3038899_C-49-1.CEL	GSM3038900_C-49-2.CEL	GSM3038901_C-49-3.CEL
Solyc11g012160.1	3.437772044	3.816743204	4.115524551	4.462851617	3.646179092	3.616865005	3.934915418	3.775403063	3.757454586	3.519581372	3.576786915	3.594613918	4.016258746	3.586191703	3.425122523	4.537866593	3.900742874	3.916394408	3.969630508	3.54638882	3.299867406	3.755164304	3.890547793	3.742507991	3.398538697	3.583862564
Solyc11g012260.1	7.775346058	7.888558574	8.058070443	6.861185922	7.780548902	7.363107317	7.364392767	7.501217776	8.257438218	8.107903132	7.78259924	7.967043195	7.009846558	7.594429574	7.642145964	6.960411247	7.240007629	7.177346272	7.436861191	7.758897061	7.558608521	6.850797041	6.893545844	7.572296851	7.677261242	7.817752666
Solyc11g012280.1	7.965559887	8.79162529	7.95539725	8.305791275	8.466289567	8.401319023	8.478770317	7.917828484	8.590793989	8.660215022	8.611761316	8.573092188	8.460984535	7.945886377	8.502097623	7.782935805	7.980694705	8.318409909	7.984114608	8.211352221	8.231991501	8.224732951	8.336486221	8.216191969	8.280908673	8.606395436
Solyc11g012320.1	13.05078318	11.89162343	12.04999064	11.24177777	12.84070313	13.32488304	12.19268144	12.33197389	12.83584458	13.78983878	13.39301711	13.55465998	11.52922134	13.21769667	12.89505369	12.1990756	13.39301711	11.94665204	12.26470105	11.54943451	12.54077058	12.84283266	13.20049261	13.21487684	13.45820439	12.12960503
Solyc11g012400.1	9.879061293	9.63780959	9.39109716	9.772882181	9.400710564	9.366051967	9.484151392	9.608484968	9.251150821	9.368243335	9.452559337	9.376516436	9.81122972	9.512998545	9.468045805	9.529746587	9.688298297	9.87287635	9.793028038	9.603294282	9.503369056	9.761636151	9.545417648	9.740226346	9.605214932	9.448077859
Solyc11g012410.1	10.2605253	9.206859483	8.502775852	9.204944345	9.062631258	8.686165487	8.560832089	9.006497511	8.232839227	8.984830597	9.306040276	9.195028175	9.454413342	9.171490084	8.528012784	9.203229071	9.079656882	9.565558047	9.345214386	9.166306722	9.010315033	9.238870585	9.080426809	9.584757807	9.445871978	8.679981988
Solyc11g012420.1	6.802426432	5.12070606	4.053697801	4.615493271	4.765104469	7.19903645	4.351788964	4.187196006	5.112660822	6.562486892	6.104641395	5.815280881	6.840208208	5.931569219	5.278695794	3.572875209	5.246307826	6.604640362	5.989214934	4.865377942	6.167873911	7.376277366	8.543509416	7.151967484	7.393244215	5.538206371
Solyc11g012440.1	5.963415988	6.474107359	5.220576289	5.030438497	5.99529208	6.848150888	6.817486889	5.868157123	6.898143902	7.616020181	6.417650632	7.022348755	5.476068874	7.113419841	7.522481824	5.547637238	6.026112802	5.524276409	5.474842475	5.634457025	5.993344229	6.10101985	7.128904285	6.01206417	5.851687284	6.162540307
Solyc11g012450.1	3.283734082	3.919747623	4.066814202	4.009158142	3.525979975	3.697434174	4.375930348	3.769492574	3.79293246	3.70916691	3.519853462	3.3958699	3.735721827	3.445539697	4.149238174	4.935468263	3.99875369	3.56342976	3.542554667	3.489716897	3.561825312	3.925086847	4.460943271	3.571893751	3.861699994	3.716434273
Solyc11g012460.1	9.215403223	9.049181968	9.121841345	9.30968251	8.899751975	9.103415393	8.557070822	8.495624985	9.121348473	8.738629994	9.032107757	8.666637775	8.877391407	8.508640343	8.291727412	9.101060988	8.748530581	8.960443431	8.84729771	8.764303107	8.723282237	8.484889997	8.126797295	9.203139907	9.291850319	9.031589953
