SampleName	Class
GSM2857543	M-17
GSM2857544	M-17
GSM2857545	M-17
GSM2857546	S-17
GSM2857547	S-17
GSM2857548	S-17
GSM2857549	C-17
GSM2857550	C-17
GSM2857551	C-17
GSM2857552	M-24
GSM2857553	M-24
GSM2857554	M-24
GSM2857555	S-24
GSM2857556	S-24
GSM2857557	S-24
GSM2857558	C-24
GSM2857559	C-24
GSM2857560	C-24
GSM2857561	M-49
GSM2857562	M-49
GSM2857563	M-49
GSM2857564	S-49
GSM2857565	S-49
GSM2857566	S-49
GSM2857567	C-49
GSM2857568	C-49
GSM2857569	C-49
