	GSM2857543_M-17-1.CEL	GSM2857544_M-17-2.CEL	GSM2857545_M-17-3.CEL	GSM2857546_S-17-1.CEL	GSM2857547_S-17-2.CEL	GSM2857548_S-17-3.CEL	GSM2857549_C-17-1.CEL	GSM2857550_C-17-2.CEL	GSM2857551_C-17-3.CEL	GSM2857552_M-24-1.CEL	GSM2857553_M-24-2.CEL	GSM2857554_M-24-3.CEL	GSM2857555_S-24-1.CEL	GSM2857556_S-24-2.CEL	GSM2857557_S-24-3.CEL	GSM2857558_C-24-1.CEL	GSM2857559_C-24-2.CEL	GSM2857560_C-24-3.CEL	GSM2857561_M-49-1.CEL	GSM2857562_M-49-2.CEL	GSM2857563_M-49-3.CEL	GSM2857564_S-49-1.CEL	GSM2857565_S-49-2.CEL	GSM2857566_S-49-3.CEL	GSM2857567_C-49-1.CEL	GSM2857568_C-49-2.CEL	GSM2857569_C-49-3.CEL
Solyc01g097860.2	9.143793599	9.145271358	8.440083491	6.909231399	6.59733739	7.904545398	9.215066959	8.923243639	8.850365006	8.599520808	8.335546395	7.012595475	8.422572021	7.57431543	7.642092169	7.827209675	8.332601968	8.345069819	7.293099393	7.214080131	8.141703588	5.55238684	6.378229981	6.807381407	8.331828901	8.72561667	8.092787995
Solyc01g097870.2	11.67964862	11.58204326	11.61871627	11.8758728	11.73976819	11.71342059	11.64103302	11.57702307	11.5812541	11.7566441	11.68716784	11.87940035	11.61871627	11.48760617	11.56450781	11.44374681	11.36941511	11.26195646	12.00310376	11.99946452	11.76177289	11.65457191	11.89158737	12.09578832	12.11145983	11.91548525	11.16304919
Solyc01g097880.2	10.62857394	10.79064668	10.5475943	10.30869753	10.81585803	10.82216383	10.13264367	10.2436521	10.22965602	10.83864559	10.86447129	10.45901005	10.33296671	10.56336196	10.29605469	10.3442094	10.38706835	10.62927732	10.13085969	10.45807735	10.56306135	11.02530819	10.26432323	10.4331292	9.893586193	10.15370591	10.45783448
Solyc01g097890.2	7.691517818	7.658270673	8.675655314	9.574124972	9.032595931	8.094909581	7.983162927	8.269884231	8.424930803	8.554029536	8.537052678	9.632135785	8.200711814	9.321422905	9.176946856	8.774595017	8.246171177	8.813122601	9.69017721	9.585294436	9.367294205	10.04942321	9.831843169	9.403431701	8.471210414	8.396107692	9.733210796
Solyc01g097910.2	10.34553512	10.75381868	10.45134396	10.37392039	9.917501142	10.2516838	10.25758538	10.56211532	10.64747057	10.49481637	10.35474106	10.26091079	8.069954771	8.608819984	9.133723197	10.27023731	10.32470998	10.49375064	9.378189273	9.233309214	9.043746413	8.051501978	8.729446079	8.225045088	9.502921799	9.542850463	9.039509995
Solyc01g097940.1	4.795249802	4.63836424	4.889235112	5.990661048	5.619967546	5.15051213	4.292275894	4.914461558	5.071410792	4.283771669	4.816222962	5.309389123	4.372199469	4.500505928	5.296042617	4.699458493	4.670330888	4.845873132	5.375387752	5.392911149	4.807268809	5.887979041	4.898460472	4.908060266	4.698711728	4.708815082	5.676417918
Solyc01g097950.2	4.795249802	4.63836424	4.889235112	5.990661048	5.619967546	5.15051213	4.292275894	4.914461558	5.071410792	4.283771669	4.816222962	5.309389123	4.372199469	4.500505928	5.296042617	4.699458493	4.670330888	4.845873132	5.375387752	5.392911149	4.807268809	5.887979041	4.898460472	4.908060266	4.698711728	4.708815082	5.676417918
Solyc01g097980.2	7.829363988	7.863938356	8.23945739	8.289855506	8.445189193	8.179287528	7.79042461	7.87282133	7.841612438	8.194143141	8.202627492	8.432289596	7.739075663	8.444039391	8.354099426	8.042695275	7.748500135	8.115948296	7.976033325	8.10748252	8.224272159	8.540068009	8.242916377	8.781311391	7.226313282	7.746152451	8.506916632
Solyc01g098000.2	10.2857203	10.25890727	10.30786207	10.69638498	10.74220344	10.57857633	10.3396092	10.25926797	10.52416484	10.78171952	10.73180019	10.78038836	10.49073138	10.20851489	10.31119491	10.48918359	10.56865549	10.35456956	10.68515672	10.74727369	10.38477233	10.59511821	10.60135803	10.65578993	10.70051096	10.25759476	10.35906499
Solyc01g098030.2	7.975066306	8.189440474	7.983148417	7.228836064	7.896582509	8.102767081	8.193491762	7.896504034	8.033418655	8.274845279	8.264666254	7.842092785	8.421351085	8.422246914	7.938609247	8.112392984	8.27255842	8.029619489	7.730542457	8.060275704	8.099004309	7.539662049	7.685994472	7.921734012	7.901239226	8.008398648	7.48735701
Solyc01g098040.2	5.530933876	5.468840154	5.357628452	5.397720628	4.66187972	5.295881265	5.635951774	5.594136135	5.873208025	5.150520509	5.227340938	5.306410312	5.582337237	5.308684196	5.424400634	5.677524557	5.500461836	5.636627826	5.518149006	5.51012055	5.733274838	4.931749939	5.517079643	5.263192119	5.698483575	5.938966906	5.455699404
Solyc01g098090.2	5.156748321	5.403912226	5.041338747	5.343408924	5.217193782	5.006666432	5.331135865	5.106015482	5.277087947	5.408619929	5.114395919	5.14140388	5.250627267	5.336365274	5.422276955	5.036992071	5.131268724	5.015267908	4.951052039	5.029313592	5.07831887	5.247178198	5.0301778	5.181495198	4.863995134	5.230107984	5.115508974
Solyc01g098160.2	6.563534443	6.306315471	6.650120719	7.02979453	6.97139372	6.412564642	6.507942874	6.579320798	6.595597045	6.393157227	6.460143248	6.732631725	6.221246756	6.698516074	6.939772791	6.562238949	6.581653765	6.588243358	6.746211923	7.001263414	6.755766579	7.384064874	6.839197329	6.893762654	6.638274755	6.666864809	7.281222687
Solyc01g098180.2	9.392022013	9.262278879	9.406520629	9.044301555	9.356505313	9.422962812	9.385192232	9.468051717	9.4199375	9.420845844	9.48732641	9.350895141	9.334811272	9.775981731	9.441732276	9.351332608	9.226207229	9.514563148	9.353495105	9.429718573	9.429610568	9.416807929	9.39271218	9.454348417	9.307627822	9.622930325	9.170972919
Solyc01g098230.2	7.377356342	7.216043531	7.443021776	8.085207834	8.106668606	7.689748292	7.258134139	7.215450398	7.465564729	7.758148039	7.493128536	7.723852648	6.925356815	7.344247649	7.71774571	7.475010433	7.57772011	7.339466121	7.818423468	7.514659085	7.402419525	8.04499661	7.580421791	7.929620742	7.208135661	7.169076383	7.687154551
Solyc01g098390.2	4.442988335	4.570863547	4.639140284	4.447419943	4.662737321	4.322825891	4.679544303	4.126079446	4.394945523	5.022206793	5.387679943	6.013641242	6.082254446	5.778860524	5.913322662	4.725603668	4.612329154	4.87590392	5.586853838	5.293095965	5.702707296	6.053461043	6.602083539	5.640315974	4.922533218	5.300018791	5.784815916
Solyc01g098400.2	3.170523649	2.905036316	2.690378157	3.428725582	2.058102216	2.947696349	4.328880123	3.736588717	3.961226667	2.274061595	3.10857061	3.16478355	5.59922204	3.747902069	4.067587326	3.023697569	3.379960184	3.370760779	4.036754004	3.691099415	3.678755016	3.56192967	4.757094731	4.623169396	4.893612261	4.388318031	2.115328107
Solyc01g098460.2	7.467240061	7.041085564	7.855929215	9.000512575	8.36283212	7.703895642	7.519620084	7.62968361	7.585152082	7.471482164	7.591606399	8.43374117	6.989030748	8.44719402	8.446297129	7.722857758	7.412956188	7.927944025	8.553165194	8.113110112	7.771964719	8.751477764	8.346189773	7.960586504	7.231430136	7.647501962	8.381858597
Solyc01g098500.2	5.701560026	5.95587524	5.277057816	6.073997771	5.327476764	5.27997671	6.555610274	5.958239702	6.160630896	6.154642125	5.79779497	6.030097309	5.42495337	5.096552799	5.407055142	5.887963364	5.665404186	5.894078281	5.736755035	5.870318716	5.573270333	4.305157504	5.923274706	5.039180054	5.750900185	5.724261242	5.770811052
